Prob2014
19.5
22
21.5
11.5
24.5
15.5
15.5
23.5
24
23.75
12
15
19.5
18.75
20
23
13.5
10
8.5
11.5
4
14
11
15.5
6
7
20
13.5
17
14.5
13
13.5
12
13
12.5
3.75
11.5
8
11
2.5
1
17.5
1
15.5
18.5
6.5
12
5.5
18.25
11
3.5
6
6.5
16.75
5.5
7.5
19.5
10
1
2
0
9.5
6.5
4
2
14.5
1
1.5
11.5
4
12
5.5
13.5
