RoundProb2014
20
22
22
12
25
16
16
24
24
24
12
15
20
19
20
23
14
10
9
12
4
14
11
16
6
7
20
14
17
15
13
14
12
13
13
4
12
8
11
3
1
18
1
16
19
7
12
6
19
11
4
6
7
17
6
8
20
10
1
2
0
10
7
4
2
15
1
2
12
4
12
6
14
